#index RAdeg DECdeg dist V-J specind HIPindex Vmag HIPmag Jmag Hmag Kmag MV B-V HIPV-I V-I Teff SpT Blum HZseparcsec HZcontrast mass FLAG(SUPERBLINK) FLAG(2MASSCNS3) FLAG(CNS3) FLAG(HIPS) FLAG(HIPD) FLAG(RECONS) name
77 184.275955 -77.368530 19.157087 2.760000 6.700000 -100 9.960000 -100.000000 7.200000 6.570000 6.400000 8.548352 -100.000000 -100.000000 1.696252 3940.723389 6.819277 0.091948 0.015829 1.89238e-09 0.616145 1 1 0 0 0 0 PMI_J12171-7722  
84 78.274918 -76.889442 17.574692 4.330000 7.400000 -100 13.570000 -100.000000 9.240000 8.630000 8.360000 12.345561 -100.000000 -100.000000 2.781848 3103.580322 7.388210 0.008712 0.005311 1.99714e-08 0.254148 1 1 0 0 0 0 PMI_J05130-7653  
87 97.694252 -76.719193 8.756567 5.740000 7.600000 -100 14.630000 -100.000000 8.890000 8.270000 7.920000 14.918331 -100.000000 -100.000000 3.711193 2781.812744 7.551875 0.001903 0.004982 9.14391e-08 0.124063 1 1 0 0 0 0 PMI_J06307-7643  
88 117.302956 -76.701836 8.841733 4.080000 7.300000 -100 11.490000 -100.000000 7.410000 6.860000 6.580000 11.757313 -100.000000 -100.000000 2.609752 3197.622070 7.341189 0.012927 0.012859 1.34604e-08 0.310573 1 1 0 0 0 0 PMI_J07492-7642  
89 307.015594 -76.671082 12.658228 4.720000 7.500000 -100 14.080000 -100.000000 9.359000 8.875000 8.600000 13.568135 -100.000000 -100.000000 2.970707 3012.304443 7.432236 0.003483 0.004662 4.99592e-08 0.210988 1 1 0 0 0 0 GJ1251
91 162.004333 -76.571053 14.534883 5.280000 7.600000 -100 15.260000 -100.000000 9.980000 9.430000 9.140000 14.447943 -100.000000 -100.000000 3.435897 2837.727051 7.518984 0.002462 0.003414 7.06779e-08 0.140508 1 1 0 0 0 0 PMI_J10480-7634  
93 318.550629 -76.557114 13.661202 3.950000 7.300000 -100 12.120000 -100.000000 8.170000 7.530000 7.240000 11.442555 -100.000000 -100.000000 2.609752 3197.622070 7.341189 0.017274 0.009621 1.00729e-08 0.310573 1 1 0 0 0 0 PMI_J21142-7633  
97 3.538500 -76.258698 19.193857 2.720000 6.700000 -100 9.880000 -100.000000 7.160000 6.480000 6.270000 8.464189 -100.000000 -100.000000 1.696252 3940.723389 6.819277 0.099359 0.016423 1.75123e-09 0.616145 1 1 0 0 0 0 PMI_J00141-7615  
100 123.427544 -76.130142 14.992504 3.810000 7.300000 -100 11.970000 -100.000000 8.158000 7.595000 7.297000 11.090630 -100.000000 -100.000000 2.492134 3261.894287 7.309053 0.021600 0.009803 8.05544e-09 0.349137 1 1 0 0 0 0 GJ3492
101 310.997070 -75.879303 6.635700 5.900000 7.700000 -100 14.730000 -100.000000 8.830000 8.230000 8.020000 15.620565 -100.000000 -100.000000 3.711193 2781.812744 7.551875 0.000997 0.004757 1.74592e-07 0.124063 1 1 0 0 0 0 PMI_J20439-7552  
